id	x	y
420	606012.6631	5653244.863
421	610012.6631	5653244.863
422	614012.6631	5653244.863
423	618012.6631	5653244.863
424	622012.6631	5653244.863
425	626012.6631	5653244.863
426	630012.6631	5653244.863
427	634012.6631	5653244.863
428	638012.6631	5653244.863
429	642012.6631	5653244.863
430	646012.6631	5653244.863
431	650012.6631	5653244.863
432	654012.6631	5653244.863
433	658012.6631	5653244.863
434	662012.6631	5653244.863
435	666012.6631	5653244.863
436	670012.6631	5653244.863
437	674012.6631	5653244.863
438	678012.6631	5653244.863
439	682012.6631	5653244.863
440	686012.6631	5653244.863
441	690012.6631	5653244.863
442	694012.6631	5653244.863
443	698012.6631	5653244.863
454	578012.6631	5649244.863
455	582012.6631	5649244.863
456	586012.6631	5649244.863
457	590012.6631	5649244.863
458	594012.6631	5649244.863
459	598012.6631	5649244.863
460	602012.6631	5649244.863
461	606012.6631	5649244.863
462	610012.6631	5649244.863
463	614012.6631	5649244.863
464	618012.6631	5649244.863
465	622012.6631	5649244.863
466	626012.6631	5649244.863
467	630012.6631	5649244.863
468	634012.6631	5649244.863
469	638012.6631	5649244.863
470	642012.6631	5649244.863
471	646012.6631	5649244.863
472	650012.6631	5649244.863
473	654012.6631	5649244.863
474	658012.6631	5649244.863
475	662012.6631	5649244.863
476	666012.6631	5649244.863
477	670012.6631	5649244.863
478	674012.6631	5649244.863
479	678012.6631	5649244.863
480	682012.6631	5649244.863
481	686012.6631	5649244.863
482	690012.6631	5649244.863
483	694012.6631	5649244.863
484	698012.6631	5649244.863
485	702012.6631	5649244.863
495	578012.6631	5645244.863
496	582012.6631	5645244.863
497	586012.6631	5645244.863
498	590012.6631	5645244.863
499	594012.6631	5645244.863
500	598012.6631	5645244.863
501	602012.6631	5645244.863
502	606012.6631	5645244.863
503	610012.6631	5645244.863
504	614012.6631	5645244.863
505	618012.6631	5645244.863
506	622012.6631	5645244.863
507	626012.6631	5645244.863
508	630012.6631	5645244.863
509	634012.6631	5645244.863
510	638012.6631	5645244.863
511	642012.6631	5645244.863
512	646012.6631	5645244.863
513	650012.6631	5645244.863
514	654012.6631	5645244.863
515	658012.6631	5645244.863
516	662012.6631	5645244.863
517	666012.6631	5645244.863
518	670012.6631	5645244.863
519	674012.6631	5645244.863
520	678012.6631	5645244.863
